model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GT86,2019,23980,Manual,1751,Petrol,145,33.2,2.0
 GT86,2017,17995,Manual,16444,Petrol,265,36.2,2.0
 GT86,2014,12998,Manual,25499,Petrol,260,36.2,2.0
 GT86,2019,23495,Automatic,3934,Petrol,145,32.8,2.0
 GT86,2019,25780,Manual,5123,Petrol,145,33.2,2.0
 GT86,2020,26995,Semi-Auto,1500,Petrol,145,32.8,2.0
 GT86,2019,23998,Semi-Auto,913,Petrol,145,32.8,2.0
 GT86,2019,26995,Manual,2680,Petrol,150,33.2,2.0
 GT86,2017,17000,Manual,14345,Petrol,150,36.2,2.0
 GT86,2018,19995,Manual,15525,Petrol,150,36.2,2.0
 GT86,2020,31000,Manual,3000,Petrol,145,33.2,2.0
 GT86,2016,15995,Semi-Auto,19460,Petrol,200,39.8,2.0
 GT86,2018,18490,Manual,31231,Petrol,150,36.2,2.0
 GT86,2020,24990,Manual,339,Petrol,145,33.2,2.0
 GT86,2015,13981,Manual,30500,Petrol,265,36.2,2.0
 GT86,2015,13991,Manual,38126,Petrol,260,36.2,2.0
 GT86,2019,27060,Automatic,3348,Petrol,145,32.8,2.0
 GT86,2018,20695,Manual,5260,Petrol,145,36.2,2.0
 GT86,2019,25999,Manual,100,Petrol,145,33.2,2.0
 GT86,2013,11575,Manual,50584,Petrol,265,36.2,2.0
 GT86,2017,20995,Manual,6445,Petrol,145,36.2,2.0
 GT86,2014,14999,Manual,18389,Petrol,260,36.2,2.0
 GT86,2019,27000,Semi-Auto,100,Petrol,145,32.8,2.0
 GT86,2016,15000,Manual,28321,Petrol,265,36.2,2.0
 GT86,2019,22200,Semi-Auto,16241,Petrol,145,32.8,2.0
 GT86,2019,24990,Manual,3150,Petrol,145,33.2,2.0
 GT86,2019,25995,Manual,8912,Petrol,145,33.2,2.0
 GT86,2017,19500,Manual,9639,Petrol,260,36.2,2.0
 GT86,2017,18250,Manual,20219,Petrol,145,36.2,2.0
 GT86,2019,23995,Manual,1557,Petrol,150,33.2,2.0
 GT86,2016,17500,Manual,14000,Petrol,260,36.2,2.0
 GT86,2019,23997,Manual,4500,Petrol,145,33.2,2.0
 GT86,2017,17102,Manual,21000,Petrol,260,36.2,2.0
 GT86,2019,24995,Manual,2488,Petrol,145,33.2,2.0
 GT86,2017,19995,Manual,26000,Petrol,145,36.2,2.0
 GT86,2020,29769,Manual,999,Petrol,145,33.2,2.0
