model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Shuttle,2018,19998,Manual,24328,Diesel,145,47.1,2.0
 Shuttle,2018,19998,Manual,25029,Diesel,145,47.1,2.0
 Shuttle,2018,19998,Manual,23027,Diesel,145,47.1,2.0
 Shuttle,2019,23329,Semi-Auto,13859,Diesel,145,32.8,2.0
 Shuttle,2019,19995,Manual,8329,Diesel,145,38.2,2.0
 Shuttle,2018,19998,Manual,21226,Diesel,145,47.1,2.0
 Shuttle,2017,32995,Semi-Auto,4828,Diesel,145,47.1,2.0
 Shuttle,2019,20480,Manual,3615,Diesel,145,38.2,2.0
 Shuttle,2016,16998,Manual,20074,Diesel,200,47.1,2.0
 Shuttle,2019,29995,Semi-Auto,4800,Diesel,145,33.2,2.0
 Shuttle,2018,19498,Manual,19712,Diesel,150,47.1,2.0
 Shuttle,2018,19498,Manual,21369,Diesel,150,47.1,2.0
 Shuttle,2018,19498,Manual,21146,Diesel,150,47.1,2.0
 Shuttle,2018,18998,Manual,24339,Diesel,145,47.1,2.0
 Shuttle,2017,17998,Manual,18722,Diesel,200,47.1,2.0
 Shuttle,2015,17895,Automatic,26146,Diesel,325,35.3,2.0
 Shuttle,2019,32395,Semi-Auto,5000,Diesel,145,33.2,2.0
 Shuttle,2020,25199,Manual,1000,Diesel,150,37.7,2.0
 Shuttle,2018,19998,Manual,21590,Diesel,145,47.1,2.0
 Shuttle,2019,26888,Automatic,12123,Diesel,145,32.8,2.0
 Shuttle,2018,22794,Semi-Auto,39828,Diesel,145,47.1,2.0
 Shuttle,2019,26990,Semi-Auto,11542,Diesel,150,32.8,2.0
 Shuttle,2019,26990,Automatic,10563,Diesel,145,32.8,2.0
 Shuttle,2018,20625,Semi-Auto,20677,Diesel,145,47.1,2.0
 Shuttle,2019,32950,Semi-Auto,5000,Diesel,150,32.8,2.0
 Shuttle,2019,34950,Semi-Auto,10000,Diesel,150,32.8,2.0
 Shuttle,2019,31950,Semi-Auto,10000,Diesel,150,32.8,2.0
 Shuttle,2019,27950,Semi-Auto,14818,Diesel,145,32.8,2.0
 Shuttle,2019,27950,Automatic,15132,Diesel,145,32.8,2.0
 Shuttle,2018,22750,Manual,31824,Diesel,145,47.1,2.0
 Shuttle,2019,28995,Semi-Auto,14028,Diesel,145,32.8,2.0
 Shuttle,2019,26994,Semi-Auto,11320,Diesel,150,32.8,2.0
 Shuttle,2018,26995,Semi-Auto,19652,Diesel,150,47.1,2.0
 Shuttle,2019,26490,Semi-Auto,12699,Diesel,145,32.8,2.0
 Shuttle,2019,27490,Semi-Auto,14568,Diesel,145,32.8,2.0
 Shuttle,2018,25500,Semi-Auto,33455,Diesel,145,47.1,2.0
 Shuttle,2019,32500,Semi-Auto,11514,Diesel,145,32.8,2.0
 Shuttle,2019,36995,Semi-Auto,12316,Diesel,145,32.8,2.0
 Shuttle,2019,29730,Semi-Auto,8605,Diesel,150,32.8,2.0
 Shuttle,2019,28000,Semi-Auto,10074,Diesel,145,32.8,2.0
 Shuttle,2019,26396,Semi-Auto,12746,Diesel,145,32.8,2.0
 Shuttle,2018,27994,Semi-Auto,16203,Diesel,145,47.1,2.0
 Shuttle,2014,16790,Manual,37158,Diesel,260,40.4,2.0
 Shuttle,2019,23489,Manual,925,Diesel,145,37.7,2.0
 Jetta,2015,9690,Manual,28120,Diesel,20,70.6,2.0
 Jetta,2014,7985,Manual,1,Diesel,20,67.3,1.6
 Jetta,2016,11795,Semi-Auto,39836,Diesel,30,62.8,2.0
 Jetta,2015,8498,Manual,59854,Diesel,20,67.3,2.0
 Jetta,2015,8995,Manual,48985,Diesel,20,70.6,2.0
 Jetta,2015,7498,Manual,69988,Diesel,20,70.6,2.0
 Jetta,2017,10495,Manual,15899,Diesel,20,67.3,2.0
 Jetta,2015,8495,Manual,84700,Diesel,20,67.3,2.0
 Jetta,2016,7995,Manual,73500,Diesel,20,70.6,2.0
 Jetta,2018,12995,Manual,11749,Diesel,145,70.6,2.0
 Jetta,2016,9995,Manual,57605,Diesel,20,67.3,2.0
 Jetta,2016,11495,Semi-Auto,19019,Diesel,30,62.8,2.0
 Jetta,2015,9298,Manual,20173,Diesel,20,67.3,2.0
 Jetta,2015,8000,Manual,42048,Diesel,20,67.3,2.0
 Jetta,2015,9990,Manual,26403,Diesel,20,67.3,2.0
 Jetta,2015,6999,Manual,65015,Diesel,20,70.6,2.0
 Jetta,2017,11490,Semi-Auto,12649,Petrol,150,55.4,1.4
 Jetta,2013,6891,Manual,48501,Diesel,20,67.3,1.6
 Jetta,2017,8852,Manual,69222,Diesel,145,67.3,2.0
 Jetta,2011,5995,Manual,60200,Diesel,125,58.9,2.0
 Jetta,2007,4450,Automatic,55000,Diesel,190,45.6,2.0
 Jetta,2017,11999,Automatic,11500,Diesel,145,67.3,2.0
 Jetta,2016,9899,Manual,36889,Diesel,20,70.6,2.0
 Jetta,2015,10000,Manual,29546,Diesel,20,67.3,2.0
 Jetta,2016,9466,Automatic,34567,Diesel,30,62.8,2.0
 Jetta,2014,9990,Automatic,28044,Diesel,145,53.3,2.0
 Jetta,2016,10990,Manual,30886,Diesel,20,67.3,2.0
 Jetta,2015,7999,Manual,35242,Diesel,20,70.6,2.0
 Jetta,2008,2295,Manual,111000,Diesel,155,48.7,2.0
 Jetta,2012,3995,Manual,110750,Diesel,20,67.3,1.6
 Jetta,2011,5480,Manual,10000,Diesel,20,67.3,1.6
 Jetta,2012,5995,Automatic,72000,Diesel,30,65.7,1.6
 CC,2014,9985,Manual,50342,Diesel,30,60.1,2.0
 CC,2015,12999,Semi-Auto,32878,Diesel,125,56.5,2.0
 CC,2014,9960,Semi-Auto,40348,Diesel,145,54.3,2.0
